time,duration,pitch,note_name,string,fret,confidence
0.0,0.8359,60,C4,3,5,0.8846
0.8824,0.4644,65,F4,4,6,0.8028
1.5557,0.2787,65,F4,4,6,0.6618
2.0666,0.4876,64,E4,4,5,0.9955
2.6239,0.952,60,C4,3,5,0.9761
3.6223,0.7895,62,D4,4,3,0.737
4.7369,0.743,66,F#4,4,7,0.7245
4.8065,0.418,69,A4,5,5,0.7067
5.5728,0.8359,60,C4,3,5,0.8983
6.5016,0.8591,58,A#3,3,3,0.862
7.3607,0.3948,57,A3,3,2,0.5119
7.7322,0.2787,56,G#3,3,1,0.8081
8.2199,0.4876,55,G3,3,0,0.5446
9.0093,0.6734,60,C4,3,5,0.9546
9.7524,0.7895,65,F4,4,6,0.8465
10.6347,0.2555,60,C4,3,5,0.6655
11.1224,0.325,60,C4,3,5,0.5756
11.6332,0.9288,60,C4,3,5,0.8962
