time,duration,midi_pitch,note_name,velocity
0.0,0.875,60,C4,127
0.875,0.44270833333333326,65,F4,127
1.3583333333333334,0.44270833333333326,65,F4,127
2.0625,0.4427083333333335,64,E4,127
2.625,0.875,60,C4,127
3.625,0.625,62,D4,127
4.375,0.25,66,F#4,127
4.75,0.4375,69,A4,127
5.5,0.875,60,C4,127
6.5,0.875,58,A#3,127
7.375,0.375,57,A3,127
7.75,0.375,56,G#3,127
8.125,0.75,55,G3,127
9.0,0.75,60,C4,127
9.75,0.75,65,F4,127
10.625,0.375,60,C4,127
11.125,0.375,60,C4,127
11.625,0.875,60,C4,127
