time,duration,pitch,note_name,string,fret,confidence
0.0,0.4063,60,C4,3,5,0.8485
0.4412,0.058,67,G4,5,3,0.9632
0.4992,0.2787,67,G4,4,8,0.5994
0.9056,0.3831,67,G4,4,8,0.5493
1.3119,0.4644,60,C4,3,5,0.9776
1.8112,0.0696,67,G4,5,3,0.7133
1.8808,0.1742,67,G4,4,8,0.7631
2.322,0.4644,67,G4,4,8,0.7696
2.8096,0.4412,60,C4,3,5,0.9732
3.2508,0.2786,58,A#3,3,3,0.9548
3.5062,0.1045,58,A#3,2,8,0.6732
3.7384,0.1393,58,A#3,2,8,0.5258
3.9358,0.4063,60,C4,3,5,0.8403
4.377,0.058,67,G4,5,3,0.881
4.435,0.2787,67,G4,4,8,0.6967
4.8414,0.3831,67,G4,4,8,0.5483
5.2477,0.4644,60,C4,3,5,0.9717
5.7469,0.0697,67,G4,5,3,0.8022
5.8166,0.2786,67,G4,4,8,0.5939
6.2229,0.4993,67,G4,4,8,0.7083
6.7454,0.4412,60,C4,3,5,0.8774
7.1866,0.2902,58,A#3,3,3,0.8863
7.442,0.1045,58,A#3,2,8,0.7424
7.6858,0.1161,58,A#3,2,8,0.7591
