file,dataset_type,model,precision,recall,f1,offset
00_CMaj_120.wav,synthetic,CRNN,92.3,100.0,96.0,0.0
00_CMaj_120.wav,synthetic,TabCNN,44.4,100.0,61.5,0.0
00_CMaj_120_Velocity127.wav,synthetic,CRNN,85.7,100.0,92.3,0.0
00_CMaj_120_Velocity127.wav,synthetic,TabCNN,52.2,100.0,68.6,0.0
01_CMaj_120.wav,synthetic,CRNN,93.3,100.0,96.6,0.0
01_CMaj_120.wav,synthetic,TabCNN,60.0,85.7,70.6,0.0
02_CMaj_120.wav,synthetic,CRNN,94.7,100.0,97.3,0.0
02_CMaj_120.wav,synthetic,TabCNN,61.9,72.2,66.7,0.0
03_Acustic_CMaj_Scale.wav,synthetic,CRNN,81.8,100.0,90.0,0.0
03_Acustic_CMaj_Scale.wav,synthetic,TabCNN,72.7,88.9,80.0,0.0
04_CMaj_Acustic_melodia.wav,synthetic,CRNN,100.0,100.0,100.0,0.0
04_CMaj_Acustic_melodia.wav,synthetic,TabCNN,70.0,87.5,77.8,0.0
05_AccordiMedCMaj.wav,synthetic,CRNN,72.2,86.7,78.8,0.0
05_AccordiMedCMaj.wav,synthetic,TabCNN,35.1,86.7,50.0,0.0
06_CMaj_MedVeloce.wav,synthetic,CRNN,100.0,100.0,100.0,0.0
06_CMaj_MedVeloce.wav,synthetic,TabCNN,53.1,85.0,65.4,0.0
